:IngredientName,IngredientType,Unit,Recipe
:Names,,"S1_AirProfile","Profile"
"S1_AP_350",Analog,"S1_AP_350",0.006016969681
"S1_AP_351",Analog,"S1_AP_351",0.009221553802
"S1_AP_352",Analog,"S1_AP_352",0.00875222683
"S1_AP_353",Analog,"S1_AP_353",0.007461428642
"S1_AP_354",Analog,"S1_AP_354",0.01018249989
"S1_AP_355",Analog,"S1_AP_355",0.01132464409
"S1_AP_356",Analog,"S1_AP_356",0.01056611538
"S1_AP_357",Analog,"S1_AP_357",0.0102391243
"S1_AP_358",Analog,"S1_AP_358",0.007232666016
"S1_AP_359",Analog,"S1_AP_359",0.007711648941
"S1_AP_360",Analog,"S1_AP_360",0.008735656738
"S1_AP_361",Analog,"S1_AP_361",0.006822109222
"S1_AP_362",Analog,"S1_AP_362",0.008068323135
"S1_AP_363",Analog,"S1_AP_363",0.007199645042
"S1_AP_364",Analog,"S1_AP_364",0.005265712738
"S1_AP_365",Analog,"S1_AP_365",0.007361650467
"S1_AP_366",Analog,"S1_AP_366",0.005200743675
"S1_AP_367",Analog,"S1_AP_367",0.006800055504
"S1_AP_368",Analog,"S1_AP_368",0.009594202042
"S1_AP_369",Analog,"S1_AP_369",0.00951564312
"S1_AP_370",Analog,"S1_AP_370",0.01024591923
"S1_AP_371",Analog,"S1_AP_371",0.007238149643
"S1_AP_372",Analog,"S1_AP_372",0.007934689522
"S1_AP_373",Analog,"S1_AP_373",0.007402420044
"S1_AP_374",Analog,"S1_AP_374",0.006630897522
"S1_AP_375",Analog,"S1_AP_375",0.007074713707
"S1_AP_376",Analog,"S1_AP_376",0.005090713501
"S1_AP_377",Analog,"S1_AP_377",0.004687070847
"S1_AP_378",Analog,"S1_AP_378",0.005329489708
"S1_AP_379",Analog,"S1_AP_379",0.004619956017
"S1_AP_380",Analog,"S1_AP_380",0.003754019737
"S1_AP_381",Analog,"S1_AP_381",0.006218791008
"S1_AP_382",Analog,"S1_AP_382",0.00813627243
"S1_AP_383",Analog,"S1_AP_383",0.006759047508
"S1_AP_384",Analog,"S1_AP_384",0.00600874424
"S1_AP_385",Analog,"S1_AP_385",0.005595564842
"S1_AP_386",Analog,"S1_AP_386",0.006790280342
"S1_AP_387",Analog,"S1_AP_387",0.007641553879
"S1_AP_388",Analog,"S1_AP_388",0.008649230003
"S1_AP_389",Analog,"S1_AP_389",0.01038348675
"S1_AP_390",Analog,"S1_AP_390",0.008998990059
"S1_AP_391",Analog,"S1_AP_391",0.008630871773
"S1_AP_392",Analog,"S1_AP_392",0.007460236549
"S1_AP_393",Analog,"S1_AP_393",0.004398345947
"S1_AP_394",Analog,"S1_AP_394",0.003944516182
"S1_AP_395",Analog,"S1_AP_395",0.005069971085
"S1_AP_396",Analog,"S1_AP_396",0.003951787949
"S1_AP_397",Analog,"S1_AP_397",0.005112171173
"S1_AP_398",Analog,"S1_AP_398",0.005112171173
"S1_AP_399",Analog,"S1_AP_399",0.004274010658
"S1_AP_400",Analog,"S1_AP_400",0.004274010658
